n_procs,n_threads,time_taken,mpi_time,problem_size
1,1,4.86,0.00,10000000
1,2,2.62,0.00,10000000
1,3,1.85,0.00,10000000
1,4,1.46,0.00,10000000
1,5,1.23,0.00,10000000
1,6,1.08,0.00,10000000
1,7,0.98,0.00,10000000
1,8,0.89,0.00,10000000
1,9,0.83,0.00,10000000
1,10,0.78,0.00,10000000
1,11,0.74,0.00,10000000
1,12,0.72,0.00,10000000
1,13,0.72,0.00,10000000
1,14,0.73,0.00,10000000
1,15,0.81,0.00,10000000
1,16,0.80,0.00,10000000
1,17,0.75,0.00,10000000
1,18,0.93,0.00,10000000
1,19,0.78,0.00,10000000
1,20,0.77,0.00,10000000
1,21,0.98,0.00,10000000
1,22,0.76,0.00,10000000
1,23,0.78,0.00,10000000
1,24,0.81,0.00,10000000
2,1,2.53,0.17,10000000
2,2,1.41,0.14,10000000
2,3,1.04,0.13,10000000
2,4,0.84,0.13,10000000
2,5,0.73,0.12,10000000
2,6,0.65,0.12,10000000
2,7,0.60,0.12,10000000
2,8,0.56,0.12,10000000
2,9,0.53,0.12,10000000
2,10,0.51,0.12,10000000
2,11,0.49,0.12,10000000
2,12,0.48,0.12,10000000
2,13,0.50,0.13,10000000
2,14,0.51,0.13,10000000
2,15,0.50,0.13,10000000
2,16,0.50,0.13,10000000
2,17,0.51,0.13,10000000
2,18,0.53,0.13,10000000
2,19,0.52,0.13,10000000
2,20,0.51,0.13,10000000
2,21,0.56,0.13,10000000
2,22,0.54,0.13,10000000
2,23,0.54,0.13,10000000
2,24,0.55,0.13,10000000
4,1,1.40,0.25,10000000
4,2,0.83,0.21,10000000
4,3,0.64,0.20,10000000
4,4,0.54,0.19,10000000
4,5,0.49,0.19,10000000
4,6,0.45,0.19,10000000
4,7,0.51,0.18,10000000
4,8,0.52,0.18,10000000
4,9,0.49,0.18,10000000
4,10,0.55,0.18,10000000
4,11,0.53,0.18,10000000
4,12,0.76,0.34,10000000
4,13,0.55,0.20,10000000
4,14,0.50,0.20,10000000
4,15,0.50,0.20,10000000
4,16,0.51,0.20,10000000
4,17,0.52,0.20,10000000
4,18,0.55,0.20,10000000
4,19,0.56,0.20,10000000
4,20,0.55,0.20,10000000
4,21,0.54,0.20,10000000
4,22,0.56,0.20,10000000
4,23,0.58,0.20,10000000
4,24,0.57,0.20,10000000
8,1,0.85,0.30,10000000
8,2,0.55,0.25,10000000
8,3,0.46,0.23,10000000
8,4,0.52,0.22,10000000
8,5,0.56,0.22,10000000
8,6,0.58,0.22,10000000
8,7,0.61,0.21,10000000
8,8,0.66,0.21,10000000
8,9,0.69,0.29,10000000
8,10,0.95,0.51,10000000
8,11,0.98,0.52,10000000
8,12,1.16,0.73,10000000
8,13,0.49,0.24,10000000
8,14,0.50,0.23,10000000
8,15,0.50,0.23,10000000
8,16,0.53,0.24,10000000
8,17,0.50,0.24,10000000
8,18,0.53,0.24,10000000
8,19,0.55,0.24,10000000
8,20,0.57,0.24,10000000
8,21,0.57,0.24,10000000
8,22,0.57,0.24,10000000
8,23,0.60,0.24,10000000
8,24,0.64,0.24,10000000
16,1,0.58,0.31,10000000
16,2,0.52,0.26,10000000
16,3,0.60,0.32,10000000
16,4,0.74,0.31,10000000
16,5,0.79,0.38,10000000
16,6,1.08,0.47,10000000
16,7,1.21,0.63,10000000
16,8,1.33,0.63,10000000
16,9,1.51,1.02,10000000
16,10,1.57,1.12,10000000
16,11,1.81,1.19,10000000
16,12,1.92,1.24,10000000
16,13,0.54,0.26,10000000
16,14,0.57,0.26,10000000
16,15,0.55,0.26,10000000
16,16,0.62,0.26,10000000
16,17,0.56,0.26,10000000
16,18,0.60,0.26,10000000
16,19,0.59,0.26,10000000
16,20,0.62,0.25,10000000
16,21,0.63,0.26,10000000
16,22,0.62,0.26,10000000
16,23,0.63,0.26,10000000
16,24,0.74,0.25,10000000
