n_procs,n_threads,time_taken,problem_size
1,1,8.43,10000000
1,3,11.46,10000000
1,5,16.24,10000000
1,7,22.72,10000000
1,9,23.21,10000000
1,11,25.31,10000000
1,13,25.30,10000000
1,15,26.56,10000000
1,17,25.72,10000000
1,19,29.92,10000000
1,21,26.22,10000000
1,23,28.41,10000000
2,1,4.35,10000000
2,3,6.17,10000000
2,5,8.35,10000000
2,7,11.85,10000000
2,9,11.79,10000000
2,11,12.94,10000000
2,13,12.96,10000000
2,15,14.07,10000000
2,17,13.48,10000000
2,19,13.50,10000000
2,21,14.89,10000000
2,23,13.69,10000000
4,1,2.89,10000000
4,3,4.03,10000000
4,5,4.85,10000000
4,7,6.03,10000000
4,9,6.47,10000000
4,11,7.62,10000000
4,13,7.21,10000000
4,15,8.03,10000000
4,17,8.76,10000000
4,19,9.10,10000000
4,21,8.83,10000000
4,23,9.34,10000000
8,1,3.39,10000000
8,3,3.26,10000000
8,5,4.02,10000000
8,7,3.85,10000000
8,9,4.21,10000000
8,11,4.41,10000000
8,13,4.47,10000000
8,15,5.18,10000000
8,17,5.34,10000000
8,19,5.24,10000000
8,21,5.54,10000000
8,23,5.78,10000000
16,1,4.48,10000000
16,3,3.70,10000000
16,5,3.48,10000000
16,7,3.71,10000000
16,9,3.90,10000000
16,11,3.69,10000000
16,13,2.96,10000000
16,15,3.19,10000000
16,17,3.71,10000000
16,19,3.58,10000000
16,21,3.67,10000000
16,23,3.91,10000000
