n_procs,n_threads,time_taken,mpi_times,omp_times,problem_size
1,1,4.96,0.00,0.16,10000000
1,2,5.01,0.00,0.18,10000000
1,3,5.02,0.00,0.18,10000000
1,4,5.03,0.00,0.19,10000000
1,5,5.03,0.00,0.18,10000000
1,6,5.04,0.00,0.18,10000000
1,7,5.04,0.00,0.19,10000000
1,8,5.05,0.00,0.19,10000000
1,9,5.09,0.00,0.19,10000000
1,10,5.05,0.00,0.19,10000000
1,11,5.05,0.00,0.18,10000000
1,12,5.20,0.00,0.19,10000000
1,13,5.13,0.00,0.18,10000000
1,14,5.18,0.00,0.18,10000000
1,15,5.18,0.00,0.18,10000000
1,16,5.08,0.00,0.19,10000000
1,17,5.26,0.00,0.19,10000000
1,18,5.24,0.00,0.19,10000000
1,19,5.31,0.00,0.19,10000000
1,20,5.27,0.00,0.19,10000000
1,21,5.33,0.00,0.19,10000000
1,22,5.26,0.00,0.18,10000000
1,23,5.30,0.00,0.18,10000000
1,24,5.28,0.00,0.19,10000000
2,1,2.58,0.18,0.08,10000000
2,2,2.60,0.18,0.09,10000000
2,3,2.61,0.18,0.10,10000000
2,4,2.61,0.18,0.10,10000000
2,5,2.62,0.18,0.10,10000000
2,6,2.62,0.18,0.10,10000000
2,7,2.62,0.18,0.10,10000000
2,8,2.63,0.18,0.10,10000000
2,9,2.65,0.18,0.10,10000000
2,10,2.65,0.18,0.11,10000000
2,11,2.71,0.18,0.10,10000000
2,12,2.77,0.18,0.10,10000000
2,13,2.67,0.18,0.10,10000000
2,14,2.70,0.18,0.10,10000000
2,15,2.83,0.18,0.11,10000000
2,16,2.76,0.18,0.10,10000000
2,17,2.87,0.18,0.10,10000000
2,18,2.87,0.18,0.10,10000000
2,19,2.80,0.18,0.10,10000000
2,20,2.91,0.18,0.10,10000000
2,21,2.97,0.18,0.10,10000000
2,22,2.98,0.18,0.10,10000000
2,23,2.87,0.18,0.10,10000000
2,24,2.98,0.18,0.10,10000000
4,1,1.43,0.27,0.04,10000000
4,2,1.44,0.27,0.05,10000000
4,3,1.45,0.27,0.06,10000000
4,4,1.45,0.27,0.06,10000000
4,5,1.47,0.27,0.06,10000000
4,6,1.49,0.27,0.06,10000000
4,7,1.49,0.27,0.06,10000000
4,8,1.49,0.27,0.06,10000000
4,9,1.52,0.27,0.06,10000000
4,10,1.52,0.27,0.06,10000000
4,11,1.52,0.27,0.06,10000000
4,12,1.59,0.27,0.06,10000000
4,13,1.55,0.27,0.06,10000000
4,14,1.61,0.27,0.06,10000000
4,15,1.65,0.27,0.06,10000000
4,16,1.61,0.27,0.06,10000000
4,17,1.62,0.27,0.06,10000000
4,18,1.65,0.27,0.06,10000000
4,19,1.66,0.27,0.06,10000000
4,20,1.68,0.27,0.06,10000000
4,21,1.69,0.27,0.06,10000000
4,22,1.67,0.27,0.06,10000000
4,23,1.73,0.27,0.07,10000000
4,24,1.75,0.27,0.06,10000000
8,1,0.88,0.32,0.02,10000000
8,2,0.90,0.32,0.03,10000000
8,3,0.89,0.32,0.06,10000000
8,4,0.90,0.32,0.38,10000000
8,5,0.90,0.32,0.19,10000000
8,6,0.93,0.32,0.11,10000000
8,7,0.94,0.32,0.13,10000000
8,8,0.93,0.32,0.14,10000000
8,9,0.95,0.32,0.26,10000000
8,10,0.97,0.32,0.19,10000000
8,11,0.98,0.32,0.19,10000000
8,12,1.02,0.33,0.19,10000000
8,13,1.03,0.32,0.37,10000000
8,14,1.02,0.32,0.40,10000000
8,15,1.00,0.32,0.25,10000000
8,16,1.02,0.32,0.23,10000000
8,17,1.03,0.32,0.25,10000000
8,18,1.09,0.32,0.26,10000000
8,19,1.03,0.32,0.34,10000000
8,20,1.07,0.32,0.31,10000000
8,21,1.09,0.32,0.10,10000000
8,22,1.06,0.32,0.33,10000000
8,23,1.09,0.32,0.27,10000000
8,24,1.09,0.32,0.31,10000000
16,1,0.61,0.34,0.01,10000000
16,2,0.61,0.34,0.02,10000000
16,3,0.62,0.34,0.20,10000000
16,4,0.63,0.34,0.11,10000000
16,5,0.63,0.34,0.17,10000000
16,6,0.65,0.34,0.09,10000000
16,7,0.64,0.34,0.09,10000000
16,8,0.64,0.33,0.15,10000000
16,9,0.65,0.34,0.15,10000000
16,10,0.67,0.34,0.18,10000000
16,11,0.67,0.34,0.12,10000000
16,12,0.67,0.34,0.16,10000000
16,13,0.69,0.34,0.13,10000000
16,14,0.69,0.34,0.16,10000000
16,15,0.69,0.34,0.16,10000000
16,16,0.69,0.34,0.18,10000000
16,17,0.70,0.34,0.24,10000000
16,18,0.73,0.34,0.27,10000000
16,19,0.71,0.34,0.24,10000000
16,20,0.71,0.33,0.17,10000000
16,21,0.72,0.33,0.26,10000000
16,22,0.73,0.34,0.36,10000000
16,23,0.75,0.34,0.25,10000000
16,24,0.73,0.33,0.31,10000000
