n_procs,n_threads,time_taken,mpi_times,problem_size
1,1,5.02,0.00,10000000
1,2,2.69,0.00,10000000
1,3,1.90,0.00,10000000
1,4,1.50,0.00,10000000
1,5,1.27,0.00,10000000
1,6,1.11,0.00,10000000
1,7,1.00,0.00,10000000
1,8,0.92,0.00,10000000
1,9,0.86,0.00,10000000
1,10,0.81,0.00,10000000
1,11,0.78,0.00,10000000
1,12,0.74,0.00,10000000
1,13,0.75,0.00,10000000
1,14,0.76,0.00,10000000
1,15,0.77,0.00,10000000
1,16,0.76,0.00,10000000
1,17,0.75,0.00,10000000
1,18,0.77,0.00,10000000
1,19,0.79,0.00,10000000
1,20,0.90,0.00,10000000
1,21,0.80,0.00,10000000
1,22,0.78,0.00,10000000
1,23,0.80,0.00,10000000
1,24,1.04,0.00,10000000
2,1,2.61,0.18,10000000
2,2,1.49,0.18,10000000
2,3,1.11,0.18,10000000
2,4,0.92,0.18,10000000
2,5,0.80,0.18,10000000
2,6,0.73,0.18,10000000
2,7,0.67,0.18,10000000
2,8,0.64,0.18,10000000
2,9,0.61,0.18,10000000
2,10,0.58,0.18,10000000
2,11,0.57,0.18,10000000
2,12,0.56,0.18,10000000
2,13,0.56,0.18,10000000
2,14,0.58,0.18,10000000
2,15,0.58,0.18,10000000
2,16,0.58,0.18,10000000
2,17,0.57,0.18,10000000
2,18,0.59,0.18,10000000
2,19,0.59,0.18,10000000
2,20,0.72,0.18,10000000
2,21,0.60,0.18,10000000
2,22,0.60,0.18,10000000
2,23,0.65,0.18,10000000
2,24,0.62,0.18,10000000
4,1,1.45,0.27,10000000
4,2,0.93,0.28,10000000
4,3,0.73,0.28,10000000
4,4,0.64,0.28,10000000
4,5,0.58,0.28,10000000
4,6,0.55,0.28,10000000
4,7,0.59,0.28,10000000
4,8,0.60,0.27,10000000
4,9,0.62,0.28,10000000
4,10,0.61,0.27,10000000
4,11,0.61,0.28,10000000
4,12,0.62,0.28,10000000
4,13,0.60,0.27,10000000
4,14,0.59,0.28,10000000
4,15,0.62,0.28,10000000
4,16,0.60,0.27,10000000
4,17,0.61,0.28,10000000
4,18,0.60,0.28,10000000
4,19,0.61,0.28,10000000
4,20,0.61,0.28,10000000
4,21,0.64,0.27,10000000
4,22,0.67,0.28,10000000
4,23,0.62,0.27,10000000
4,24,0.69,0.27,10000000
8,1,0.89,0.32,10000000
8,2,0.63,0.32,10000000
8,3,0.56,0.32,10000000
8,4,0.59,0.32,10000000
8,5,0.62,0.32,10000000
8,6,0.63,0.32,10000000
8,7,0.65,0.32,10000000
8,8,0.71,0.32,10000000
8,9,0.69,0.32,10000000
8,10,0.74,0.32,10000000
8,11,0.78,0.32,10000000
8,12,0.79,0.32,10000000
8,13,0.58,0.32,10000000
8,14,0.60,0.32,10000000
8,15,0.59,0.32,10000000
8,16,0.61,0.32,10000000
8,17,0.62,0.32,10000000
8,18,0.62,0.32,10000000
8,19,0.61,0.32,10000000
8,20,0.62,0.32,10000000
8,21,0.67,0.32,10000000
8,22,0.63,0.32,10000000
8,23,0.65,0.32,10000000
8,24,0.65,0.32,10000000
16,1,0.62,0.34,10000000
16,2,0.60,0.34,10000000
16,3,0.62,0.34,10000000
16,4,0.65,0.34,10000000
16,5,0.67,0.34,10000000
16,6,0.73,0.34,10000000
16,7,0.78,0.34,10000000
16,8,0.79,0.34,10000000
16,9,0.86,0.34,10000000
16,10,0.85,0.34,10000000
16,11,0.94,0.34,10000000
16,12,1.00,0.34,10000000
16,13,0.61,0.34,10000000
16,14,0.61,0.34,10000000
16,15,0.62,0.34,10000000
16,16,0.65,0.34,10000000
16,17,0.65,0.34,10000000
16,18,0.61,0.34,10000000
16,19,0.65,0.34,10000000
16,20,0.63,0.34,10000000
16,21,0.68,0.34,10000000
16,22,0.69,0.34,10000000
16,23,0.71,0.34,10000000
16,24,0.67,0.34,10000000
