n_procs,n_threads,time_taken,mpi_time,omp_times,problem_size
1,1,5.81,0,0.19,10000000
1,2,3.63,0,0.19,10000000
1,3,3.66,0,0.19,10000000
1,4,3.66,0,0.19,10000000
1,5,3.67,0,0.19,10000000
1,6,3.68,0,0.19,10000000
1,7,3.67,0,0.19,10000000
1,8,3.68,0,0.19,10000000
1,9,3.68,0,0.19,10000000
1,10,3.68,0,0.19,10000000
1,11,3.7,0,0.19,10000000
1,12,3.69,0,0.19,10000000
1,13,3.7,0,0.19,10000000
1,14,3.7,0,0.19,10000000
1,15,3.7,0,0.19,10000000
1,16,3.7,0,0.19,10000000
1,17,3.73,0,0.19,10000000
1,18,3.71,0,0.19,10000000
1,19,3.73,0,0.19,10000000
1,20,3.75,0,0.19,10000000
1,21,3.78,0,0.19,10000000
1,22,3.74,0,0.19,10000000
1,23,3.75,0,0.19,10000000
1,24,3.75,0,0.19,10000000
1,25,3.84,0,0.19,10000000
1,26,3.77,0,0.19,10000000
1,27,3.77,0,0.19,10000000
1,28,3.74,0,0.19,10000000
1,29,3.81,0,0.19,10000000
1,30,3.8,0,0.19,10000000
2,1,3.03,0.21,0.1,10000000
2,2,1.97,0.21,0.1,10000000
2,3,1.99,0.21,0.1,10000000
2,4,1.99,0.21,0.1,10000000
2,5,1.99,0.21,0.1,10000000
2,6,2,0.21,0.1,10000000
2,7,1.99,0.21,0.1,10000000
2,8,2,0.21,0.1,10000000
2,9,2.02,0.21,0.1,10000000
2,10,2,0.21,0.1,10000000
2,11,2.01,0.21,0.1,10000000
2,12,2.01,0.21,0.1,10000000
2,13,2.01,0.21,0.1,10000000
2,14,2.04,0.21,0.1,10000000
2,15,2.03,0.21,0.1,10000000
2,16,2.04,0.21,0.1,10000000
2,17,2.04,0.21,0.1,10000000
2,18,2.03,0.21,0.1,10000000
2,19,2.04,0.21,0.1,10000000
2,20,2.06,0.21,0.1,10000000
2,21,2.05,0.21,0.1,10000000
2,22,2.11,0.21,0.1,10000000
2,23,2.08,0.21,0.1,10000000
2,24,2.06,0.21,0.1,10000000
2,25,2.15,0.21,0.1,10000000
2,26,2.09,0.21,0.1,10000000
2,27,2.09,0.21,0.1,10000000
2,28,2.13,0.21,0.1,10000000
2,29,2.11,0.21,0.1,10000000
2,30,2.14,0.21,0.1,10000000
4,1,1.69,0.32,0.05,10000000
4,2,1.18,0.32,0.05,10000000
4,3,1.19,0.32,0.05,10000000
4,4,1.19,0.32,0.05,10000000
4,5,1.19,0.32,0.05,10000000
4,6,1.19,0.32,0.05,10000000
4,7,1.19,0.32,0.05,10000000
4,8,1.2,0.32,0.05,10000000
4,9,1.2,0.32,0.05,10000000
4,10,1.2,0.32,0.05,10000000
4,11,1.21,0.32,0.05,10000000
4,12,1.2,0.32,0.05,10000000
4,13,1.21,0.32,0.05,10000000
4,14,1.23,0.32,0.05,10000000
4,15,1.21,0.32,0.05,10000000
4,16,1.22,0.32,0.05,10000000
4,17,1.23,0.32,0.05,10000000
4,18,1.25,0.32,0.05,10000000
4,19,1.23,0.32,0.05,10000000
4,20,1.26,0.32,0.05,10000000
4,21,1.28,0.32,0.05,10000000
4,22,1.25,0.32,0.05,10000000
4,23,1.26,0.32,0.05,10000000
4,24,1.27,0.32,0.05,10000000
4,25,1.29,0.32,0.05,10000000
4,26,1.29,0.32,0.05,10000000
4,27,1.27,0.32,0.05,10000000
4,28,1.29,0.32,0.05,10000000
4,29,1.3,0.32,0.05,10000000
4,30,1.31,0.32,0.05,10000000
8,1,1.06,0.39,0.02,10000000
8,2,0.82,0.39,0.02,10000000
8,3,0.82,0.39,0.02,10000000
8,4,0.83,0.39,0.02,10000000
8,5,0.83,0.39,0.02,10000000
8,6,0.83,0.39,0.02,10000000
8,7,0.84,0.39,0.02,10000000
8,8,0.83,0.39,0.02,10000000
8,9,0.84,0.39,0.02,10000000
8,10,0.85,0.39,0.02,10000000
8,11,0.84,0.39,0.02,10000000
8,12,0.85,0.39,0.02,10000000
8,13,0.85,0.39,0.02,10000000
8,14,0.85,0.39,0.02,10000000
8,15,0.85,0.39,0.02,10000000
8,16,0.86,0.39,0.02,10000000
8,17,0.87,0.39,0.02,10000000
8,18,0.87,0.39,0.02,10000000
8,19,0.88,0.39,0.02,10000000
8,20,0.89,0.39,0.02,10000000
8,21,0.88,0.39,0.02,10000000
8,22,0.88,0.39,0.02,10000000
8,23,0.88,0.39,0.02,10000000
8,24,0.91,0.39,0.02,10000000
8,25,0.89,0.39,0.02,10000000
8,26,0.89,0.39,0.02,10000000
8,27,0.91,0.39,0.02,10000000
8,28,0.9,0.39,0.02,10000000
8,29,0.92,0.39,0.02,10000000
8,30,0.92,0.39,0.02,10000000
16,1,0.76,0.43,0.01,10000000
16,2,0.64,0.43,0.01,10000000
16,3,0.66,0.43,0.01,10000000
16,4,0.65,0.43,0.01,10000000
16,5,0.65,0.43,0.01,10000000
16,6,0.65,0.43,0.01,10000000
16,7,0.65,0.43,0.01,10000000
16,8,0.66,0.43,0.01,10000000
16,9,0.66,0.43,0.01,10000000
16,10,0.66,0.43,0.01,10000000
16,11,0.66,0.43,0.01,10000000
16,12,0.66,0.43,0.01,10000000
16,13,0.66,0.43,0.01,10000000
16,14,0.67,0.43,0.01,10000000
16,15,0.67,0.43,0.01,10000000
16,16,0.67,0.43,0.01,10000000
16,17,0.68,0.43,0.01,10000000
16,18,0.68,0.43,0.01,10000000
16,19,0.68,0.43,0.01,10000000
16,20,0.69,0.43,0.01,10000000
16,21,0.69,0.43,0.01,10000000
16,22,0.69,0.43,0.01,10000000
16,23,0.69,0.43,0.01,10000000
16,24,0.69,0.43,0.01,10000000
16,25,0.69,0.43,0.01,10000000
16,26,0.69,0.43,0.01,10000000
16,27,0.69,0.43,0.01,10000000
16,28,0.7,0.43,0.01,10000000
16,29,0.71,0.43,0.01,10000000
16,30,0.7,0.43,0.01,10000000
