n_procs,n_threads,time_taken,problem_size
1,1,5.81,10000000
1,2,3.12,10000000
1,3,2.20,10000000
1,4,1.73,10000000
1,5,1.46,10000000
1,6,1.29,10000000
1,7,1.15,10000000
1,8,1.06,10000000
1,9,1.00,10000000
1,10,0.94,10000000
1,11,0.90,10000000
1,12,0.86,10000000
1,13,0.83,10000000
1,14,0.82,10000000
1,15,0.80,10000000
1,16,0.79,10000000
1,17,0.78,10000000
1,18,0.78,10000000
1,19,0.74,10000000
1,20,0.74,10000000
1,21,0.74,10000000
1,22,0.74,10000000
1,23,0.72,10000000
1,24,0.71,10000000
1,25,0.72,10000000
1,26,0.78,10000000
1,27,0.74,10000000
1,28,0.86,10000000
1,29,0.90,10000000
1,30,0.81,10000000
2,1,3.04,10000000
2,2,1.74,10000000
2,3,1.29,10000000
2,4,1.06,10000000
2,5,0.93,10000000
2,6,0.88,10000000
2,7,0.78,10000000
2,8,0.74,10000000
2,9,0.70,10000000
2,10,0.68,10000000
2,11,0.66,10000000
2,12,0.64,10000000
2,13,0.63,10000000
2,14,0.62,10000000
2,15,0.61,10000000
2,16,0.61,10000000
2,17,0.61,10000000
2,18,0.59,10000000
2,19,0.59,10000000
2,20,0.58,10000000
2,21,0.59,10000000
2,22,0.59,10000000
2,23,0.59,10000000
2,24,0.59,10000000
2,25,0.61,10000000
2,26,0.87,10000000
2,27,0.61,10000000
2,28,0.61,10000000
2,29,0.63,10000000
2,30,0.64,10000000
4,1,2.05,10000000
4,2,1.27,10000000
4,3,1.01,10000000
4,4,0.89,10000000
4,5,0.81,10000000
4,6,0.76,10000000
4,7,0.73,10000000
4,8,0.70,10000000
4,9,0.68,10000000
4,10,0.66,10000000
4,11,0.65,10000000
4,12,0.65,10000000
4,13,0.60,10000000
4,14,0.65,10000000
4,15,0.64,10000000
4,16,0.69,10000000
4,17,0.65,10000000
4,18,0.66,10000000
4,19,0.70,10000000
4,20,0.69,10000000
4,21,0.72,10000000
4,22,0.75,10000000
4,23,0.68,10000000
4,24,0.78,10000000
4,25,0.71,10000000
4,26,0.69,10000000
4,27,0.70,10000000
4,28,0.74,10000000
4,29,0.73,10000000
4,30,0.75,10000000
8,1,2.52,10000000
8,2,1.79,10000000
8,3,1.55,10000000
8,4,1.40,10000000
8,5,1.33,10000000
8,6,1.26,10000000
8,7,1.23,10000000
8,8,1.21,10000000
8,9,1.22,10000000
8,10,1.19,10000000
8,11,1.19,10000000
8,12,1.11,10000000
8,13,0.76,10000000
8,14,0.84,10000000
8,15,0.83,10000000
8,16,0.84,10000000
8,17,0.83,10000000
8,18,0.76,10000000
8,19,0.94,10000000
8,20,0.84,10000000
8,21,0.96,10000000
8,22,0.98,10000000
8,23,0.96,10000000
8,24,0.91,10000000
8,25,0.80,10000000
8,26,0.80,10000000
8,27,0.84,10000000
8,28,0.87,10000000
8,29,0.90,10000000
8,30,0.83,10000000
16,1,3.60,10000000
16,2,2.91,10000000
16,3,2.72,10000000
16,4,2.54,10000000
16,5,2.49,10000000
16,6,2.42,10000000
16,7,2.42,10000000
16,8,2.32,10000000
16,9,2.27,10000000
16,10,2.38,10000000
16,11,2.27,10000000
16,12,2.29,10000000
16,13,1.03,10000000
16,14,1.01,10000000
16,15,1.09,10000000
16,16,1.08,10000000
16,17,1.15,10000000
16,18,1.08,10000000
16,19,1.19,10000000
16,20,1.14,10000000
16,21,1.16,10000000
16,22,1.17,10000000
16,23,1.21,10000000
16,24,1.28,10000000
16,25,1.13,10000000
16,26,1.13,10000000
16,27,0.90,10000000
16,28,1.12,10000000
16,29,1.09,10000000
16,30,1.04,10000000
