n_procs,n_threads,time_taken,mpi_time,problem_size
1,1,5.86,0.00,10000000
1,2,3.66,0.00,10000000
1,3,2.42,0.00,10000000
1,4,2.02,0.00,10000000
1,5,1.64,0.00,10000000
1,6,1.47,0.00,10000000
1,7,1.29,0.00,10000000
1,8,1.20,0.00,10000000
1,9,1.10,0.00,10000000
1,10,1.05,0.00,10000000
1,11,0.98,0.00,10000000
1,12,0.94,0.00,10000000
1,13,0.90,0.00,10000000
1,14,0.87,0.00,10000000
1,15,0.83,0.00,10000000
1,16,0.83,0.00,10000000
1,17,0.80,0.00,10000000
1,18,0.78,0.00,10000000
1,19,0.76,0.00,10000000
1,20,0.76,0.00,10000000
1,21,0.74,0.00,10000000
1,22,0.74,0.00,10000000
1,23,0.74,0.00,10000000
1,24,0.72,0.00,10000000
1,25,0.73,0.00,10000000
1,26,0.74,0.00,10000000
1,27,0.81,0.00,10000000
1,28,0.78,0.00,10000000
1,29,0.81,0.00,10000000
1,30,0.85,0.00,10000000
2,1,3.07,0.22,10000000
2,2,1.99,0.22,10000000
2,3,1.40,0.22,10000000
2,4,1.20,0.22,10000000
2,5,1.02,0.22,10000000
2,6,0.93,0.22,10000000
2,7,0.85,0.22,10000000
2,8,0.81,0.22,10000000
2,9,0.76,0.22,10000000
2,10,0.73,0.22,10000000
2,11,0.70,0.22,10000000
2,12,0.69,0.22,10000000
2,13,0.66,0.22,10000000
2,14,0.65,0.22,10000000
2,15,0.63,0.22,10000000
2,16,0.63,0.22,10000000
2,17,0.62,0.22,10000000
2,18,0.61,0.22,10000000
2,19,0.60,0.22,10000000
2,20,0.60,0.22,10000000
2,21,0.60,0.22,10000000
2,22,0.59,0.22,10000000
2,23,0.60,0.22,10000000
2,24,0.60,0.22,10000000
2,25,0.60,0.22,10000000
2,26,0.65,0.22,10000000
2,27,0.68,0.22,10000000
2,28,0.62,0.22,10000000
2,29,0.65,0.22,10000000
2,30,0.67,0.23,10000000
4,1,3.47,0.71,10000000
4,2,2.37,0.69,10000000
4,3,1.81,0.69,10000000
4,4,1.62,0.69,10000000
4,5,1.41,0.68,10000000
4,6,1.37,0.70,10000000
4,7,1.23,0.68,10000000
4,8,1.25,0.68,10000000
4,9,1.13,0.67,10000000
4,10,1.11,0.67,10000000
4,11,1.12,0.71,10000000
4,12,1.09,0.69,10000000
4,13,1.08,0.66,10000000
4,14,1.03,0.67,10000000
4,15,1.13,0.70,10000000
4,16,1.01,0.68,10000000
4,17,1.14,0.71,10000000
4,18,1.28,0.67,10000000
4,19,1.14,0.69,10000000
4,20,1.05,0.70,10000000
4,21,1.12,0.69,10000000
4,22,1.16,0.67,10000000
4,23,1.10,0.69,10000000
4,24,0.97,0.67,10000000
4,25,1.06,0.66,10000000
4,26,1.11,0.69,10000000
4,27,1.09,0.66,10000000
4,28,1.14,0.67,10000000
4,29,1.18,0.69,10000000
4,30,1.15,0.65,10000000
8,1,4.26,1.60,10000000
8,2,3.26,1.56,10000000
8,3,2.72,1.61,10000000
8,4,2.51,1.61,10000000
8,5,2.33,1.59,10000000
8,6,2.25,1.60,10000000
8,7,2.13,1.61,10000000
8,8,2.13,1.60,10000000
8,9,2.18,1.61,10000000
8,10,2.04,1.57,10000000
8,11,2.02,1.64,10000000
8,12,1.99,1.60,10000000
8,13,2.05,1.64,10000000
8,14,2.04,1.61,10000000
8,15,1.92,1.60,10000000
8,16,1.97,1.59,10000000
8,17,1.95,1.56,10000000
8,18,1.96,1.62,10000000
8,19,2.00,1.63,10000000
8,20,1.99,1.63,10000000
8,21,1.98,1.63,10000000
8,22,1.98,1.58,10000000
8,23,1.94,1.56,10000000
8,24,2.02,1.65,10000000
8,25,1.95,1.57,10000000
8,26,1.95,1.55,10000000
8,27,2.05,1.60,10000000
8,28,2.02,1.58,10000000
8,29,2.02,1.56,10000000
8,30,2.03,1.58,10000000
16,1,6.29,3.48,10000000
16,2,5.26,3.61,10000000
16,3,4.76,3.50,10000000
16,4,4.55,3.54,10000000
16,5,4.39,3.56,10000000
16,6,4.27,3.48,10000000
16,7,4.27,3.56,10000000
16,8,4.18,3.54,10000000
16,9,4.20,3.57,10000000
16,10,4.20,3.56,10000000
16,11,4.21,3.59,10000000
16,12,4.02,3.52,10000000
16,13,4.09,3.53,10000000
16,14,4.13,3.60,10000000
16,15,4.04,3.53,10000000
16,16,4.06,3.56,10000000
16,17,4.11,3.54,10000000
16,18,3.95,3.53,10000000
16,19,4.11,3.54,10000000
16,20,4.08,3.55,10000000
16,21,4.06,3.59,10000000
16,22,3.97,3.45,10000000
16,23,4.19,3.53,10000000
16,24,4.02,3.57,10000000
16,25,4.05,3.48,10000000
16,26,4.03,3.54,10000000
16,27,4.06,3.55,10000000
16,28,4.04,3.46,10000000
16,29,4.05,3.50,10000000
16,30,4.00,3.45,10000000
