n_procs,n_threads,time_taken,mpi_time,problem_size
1,1,5.82,0.00,10000000
1,2,3.12,0.00,10000000
1,3,2.21,0.00,10000000
1,4,1.73,0.00,10000000
1,5,1.46,0.00,10000000
1,6,1.29,0.00,10000000
1,7,1.16,0.00,10000000
1,8,1.07,0.00,10000000
1,9,0.99,0.00,10000000
1,10,0.94,0.00,10000000
1,11,0.90,0.00,10000000
1,12,0.86,0.00,10000000
1,13,0.83,0.00,10000000
1,14,0.83,0.00,10000000
1,15,0.82,0.00,10000000
1,16,0.80,0.00,10000000
1,17,0.80,0.00,10000000
1,18,0.79,0.00,10000000
1,19,0.78,0.00,10000000
1,20,0.76,0.00,10000000
1,21,0.76,0.00,10000000
1,22,0.76,0.00,10000000
1,23,0.74,0.00,10000000
1,24,0.74,0.00,10000000
1,25,0.72,0.00,10000000
1,26,0.72,0.00,10000000
1,27,0.74,0.00,10000000
1,28,0.74,0.00,10000000
1,29,0.73,0.00,10000000
1,30,0.77,0.00,10000000
2,1,3.04,0.22,10000000
2,2,1.73,0.22,10000000
2,3,1.29,0.22,10000000
2,4,1.06,0.21,10000000
2,5,0.93,0.22,10000000
2,6,0.84,0.22,10000000
2,7,0.78,0.22,10000000
2,8,0.74,0.22,10000000
2,9,0.70,0.22,10000000
2,10,0.67,0.22,10000000
2,11,0.65,0.22,10000000
2,12,0.64,0.22,10000000
2,13,0.62,0.22,10000000
2,14,0.63,0.22,10000000
2,15,0.61,0.21,10000000
2,16,0.62,0.22,10000000
2,17,0.61,0.22,10000000
2,18,0.62,0.22,10000000
2,19,0.60,0.21,10000000
2,20,0.60,0.22,10000000
2,21,0.59,0.22,10000000
2,22,0.60,0.22,10000000
2,23,0.60,0.22,10000000
2,24,0.60,0.22,10000000
2,25,0.58,0.22,10000000
2,26,0.58,0.22,10000000
2,27,0.60,0.22,10000000
2,28,0.60,0.22,10000000
2,29,0.62,0.22,10000000
2,30,0.60,0.22,10000000
4,1,1.69,0.32,10000000
4,2,1.08,0.32,10000000
4,3,0.85,0.32,10000000
4,4,0.75,0.32,10000000
4,5,0.69,0.32,10000000
4,6,0.64,0.32,10000000
4,7,0.62,0.32,10000000
4,8,0.61,0.32,10000000
4,9,0.59,0.32,10000000
4,10,0.58,0.32,10000000
4,11,0.58,0.32,10000000
4,12,0.56,0.32,10000000
4,13,0.58,0.32,10000000
4,14,0.58,0.32,10000000
4,15,0.60,0.32,10000000
4,16,0.59,0.32,10000000
4,17,0.61,0.32,10000000
4,18,0.65,0.32,10000000
4,19,0.63,0.32,10000000
4,20,0.62,0.32,10000000
4,21,0.83,0.32,10000000
4,22,0.64,0.32,10000000
4,23,0.64,0.32,10000000
4,24,0.71,0.32,10000000
4,25,0.68,0.32,10000000
4,26,0.66,0.32,10000000
4,27,0.64,0.32,10000000
4,28,0.64,0.32,10000000
4,29,0.65,0.32,10000000
4,30,0.74,0.32,10000000
8,1,1.04,0.38,10000000
8,2,0.76,0.38,10000000
8,3,0.66,0.38,10000000
8,4,0.62,0.38,10000000
8,5,0.59,0.38,10000000
8,6,0.57,0.38,10000000
8,7,0.58,0.38,10000000
8,8,0.59,0.38,10000000
8,9,0.59,0.38,10000000
8,10,0.59,0.38,10000000
8,11,0.59,0.38,10000000
8,12,0.60,0.38,10000000
8,13,0.62,0.38,10000000
8,14,0.63,0.38,10000000
8,15,0.63,0.38,10000000
8,16,0.65,0.38,10000000
8,17,0.65,0.38,10000000
8,18,0.69,0.38,10000000
8,19,0.70,0.38,10000000
8,20,0.66,0.38,10000000
8,21,0.70,0.38,10000000
8,22,0.73,0.38,10000000
8,23,0.70,0.38,10000000
8,24,0.76,0.38,10000000
8,25,0.68,0.38,10000000
8,26,0.65,0.38,10000000
8,27,0.64,0.38,10000000
8,28,0.73,0.38,10000000
8,29,0.69,0.38,10000000
8,30,0.71,0.38,10000000
16,1,0.75,0.42,10000000
16,2,0.63,0.42,10000000
16,3,0.58,0.42,10000000
16,4,0.60,0.42,10000000
16,5,0.59,0.42,10000000
16,6,0.61,0.42,10000000
16,7,0.62,0.42,10000000
16,8,0.63,0.42,10000000
16,9,0.64,0.42,10000000
16,10,0.65,0.42,10000000
16,11,0.67,0.42,10000000
16,12,0.69,0.42,10000000
16,13,0.71,0.42,10000000
16,14,0.74,0.42,10000000
16,15,0.75,0.42,10000000
16,16,0.79,0.42,10000000
16,17,0.76,0.42,10000000
16,18,0.77,0.42,10000000
16,19,0.82,0.43,10000000
16,20,0.84,0.43,10000000
16,21,0.84,0.42,10000000
16,22,0.90,0.42,10000000
16,23,0.90,0.41,10000000
16,24,0.92,0.42,10000000
16,25,0.68,0.42,10000000
16,26,0.70,0.42,10000000
16,27,0.68,0.42,10000000
16,28,0.68,0.42,10000000
16,29,0.71,0.42,10000000
16,30,0.71,0.42,10000000
