n_procs,n_threads,time_taken,problem_size
1,1,5.83,10000000
1,2,3.14,10000000
1,3,2.21,10000000
1,4,1.75,10000000
1,5,1.47,10000000
1,6,1.29,10000000
1,7,1.23,10000000
1,8,1.07,10000000
1,9,0.99,10000000
1,10,0.94,10000000
1,11,0.89,10000000
1,12,0.85,10000000
1,13,0.83,10000000
1,14,0.82,10000000
1,15,0.80,10000000
1,16,0.77,10000000
1,17,0.76,10000000
1,18,0.76,10000000
1,19,0.75,10000000
1,20,0.73,10000000
1,21,0.72,10000000
1,22,0.72,10000000
1,23,0.73,10000000
1,24,0.72,10000000
1,25,0.77,10000000
1,26,0.75,10000000
1,27,0.79,10000000
1,28,0.83,10000000
1,29,0.78,10000000
1,30,1.07,10000000
2,1,3.04,10000000
2,2,1.74,10000000
2,3,1.30,10000000
2,4,1.07,10000000
2,5,0.93,10000000
2,6,0.84,10000000
2,7,0.78,10000000
2,8,0.74,10000000
2,9,0.70,10000000
2,10,0.68,10000000
2,11,0.66,10000000
2,12,0.64,10000000
2,13,0.62,10000000
2,14,0.62,10000000
2,15,0.61,10000000
2,16,0.61,10000000
2,17,0.62,10000000
2,18,0.60,10000000
2,19,0.59,10000000
2,20,0.59,10000000
2,21,0.58,10000000
2,22,0.59,10000000
2,23,0.59,10000000
2,24,0.58,10000000
2,25,0.63,10000000
2,26,0.63,10000000
2,27,0.66,10000000
2,28,0.67,10000000
2,29,0.67,10000000
2,30,0.69,10000000
4,1,2.05,10000000
4,2,1.31,10000000
4,3,1.03,10000000
4,4,0.90,10000000
4,5,0.82,10000000
4,6,0.77,10000000
4,7,0.73,10000000
4,8,0.70,10000000
4,9,0.68,10000000
4,10,0.66,10000000
4,11,0.66,10000000
4,12,0.64,10000000
4,13,0.60,10000000
4,14,0.66,10000000
4,15,0.65,10000000
4,16,0.68,10000000
4,17,0.68,10000000
4,18,0.70,10000000
4,19,0.78,10000000
4,20,0.73,10000000
4,21,0.77,10000000
4,22,0.72,10000000
4,23,0.74,10000000
4,24,0.77,10000000
4,25,0.66,10000000
4,26,0.67,10000000
4,27,0.71,10000000
4,28,0.74,10000000
4,29,0.77,10000000
4,30,0.70,10000000
8,1,2.56,10000000
8,2,1.82,10000000
8,3,1.54,10000000
8,4,1.40,10000000
8,5,1.34,10000000
8,6,1.30,10000000
8,7,1.25,10000000
8,8,1.22,10000000
8,9,1.19,10000000
8,10,1.22,10000000
8,11,1.21,10000000
8,12,1.19,10000000
8,13,0.72,10000000
8,14,1.16,10000000
8,15,0.77,10000000
8,16,0.74,10000000
8,17,0.81,10000000
8,18,0.86,10000000
8,19,1.13,10000000
8,20,0.82,10000000
8,21,0.92,10000000
8,22,0.95,10000000
8,23,0.92,10000000
8,24,1.21,10000000
8,25,0.76,10000000
8,26,0.79,10000000
8,27,0.82,10000000
8,28,0.77,10000000
8,29,0.77,10000000
8,30,0.77,10000000
