n_procs,n_threads,time_taken,problem size
2,1,0.83,2000000
2,2,2.00,4000000
2,3,3.68,6000000
2,4,6.61,8000000
2,5,8.46,10000000
2,6,11.95,12000000
2,7,14.72,14000000
2,8,18.32,16000000
2,9,21.79,18000000
2,10,26.08,20000000
2,11,30.61,22000000
2,12,32.08,24000000
2,13,31.26,26000000
2,14,38.58,28000000
2,15,42.12,30000000
2,16,48.44,32000000
2,17,52.89,34000000
2,18,52.13,36000000
2,19,61.86,38000000
2,20,60.83,40000000
2,21,60.35,42000000
2,22,66.06,44000000
2,23,63.26,46000000
2,24,68.02,48000000
1,24,1.86,2000000
2,24,1.96,4000000
4,24,2.45,8000000
8,24,5.27,16000000
16,24,12.77,32000000
