n_procs,n_threads,time_taken,mpi_time,omp_time,problem_size
1,1,0.44,0.00,0.02,1000000
1,2,0.92,0.00,0.04,2000000
1,3,1.42,0.00,0.07,3000000
1,4,1.92,0.00,0.09,4000000
1,5,2.44,0.00,0.10,5000000
1,6,2.95,0.00,0.12,6000000
1,7,3.47,0.00,0.14,7000000
1,8,4.01,0.00,0.15,8000000
1,9,4.58,0.00,0.17,9000000
1,10,5.13,0.00,0.19,10000000
1,11,5.62,0.00,0.20,11000000
1,12,6.18,0.00,0.22,12000000
1,13,6.74,0.00,0.23,13000000
1,14,7.24,0.00,0.25,14000000
1,15,7.80,0.00,0.27,15000000
1,16,8.33,0.00,0.28,16000000
1,17,8.96,0.00,0.31,17000000
1,18,9.43,0.00,0.32,18000000
1,19,10.02,0.00,0.33,19000000
1,20,10.67,0.00,0.35,20000000
1,21,11.03,0.00,0.37,21000000
1,22,11.70,0.00,0.39,22000000
1,23,12.29,0.00,0.40,23000000
1,24,12.80,0.00,0.41,24000000
2,1,0.48,0.04,0.02,2000000
2,2,1.00,0.07,0.04,4000000
2,3,1.53,0.11,0.07,6000000
2,4,2.11,0.14,0.09,8000000
2,5,2.63,0.18,0.10,10000000
2,6,3.17,0.21,0.12,12000000
2,7,3.72,0.25,0.14,14000000
2,8,4.30,0.28,0.15,16000000
2,9,4.85,0.32,0.17,18000000
2,10,5.43,0.36,0.19,20000000
2,11,6.00,0.39,0.20,22000000
2,12,6.55,0.43,0.22,24000000
2,13,7.19,0.46,0.23,26000000
2,14,7.80,0.50,0.25,28000000
2,15,8.34,0.53,0.27,30000000
2,16,9.05,0.57,0.28,32000000
2,17,9.66,0.60,0.30,34000000
2,18,10.12,0.64,0.32,36000000
2,19,10.74,0.68,0.33,38000000
2,20,11.50,0.71,0.35,40000000
2,21,12.11,0.75,0.36,42000000
2,22,12.54,0.78,0.38,44000000
2,23,13.49,0.82,0.40,46000000
2,24,13.74,0.85,0.41,48000000
4,1,0.61,0.11,0.02,4000000
4,2,1.15,0.22,0.05,8000000
4,3,1.75,0.32,0.07,12000000
4,4,2.36,0.43,0.09,16000000
4,5,2.98,0.54,0.10,20000000
4,6,3.61,0.65,0.12,24000000
4,7,4.23,0.75,0.14,28000000
4,8,4.89,0.86,0.15,32000000
4,9,5.54,0.97,0.17,36000000
4,10,6.21,1.08,0.19,40000000
4,11,6.84,1.19,0.20,44000000
4,12,7.53,1.29,0.22,48000000
4,13,8.14,1.40,0.23,52000000
4,14,8.85,1.51,0.25,56000000
4,15,9.57,1.62,0.27,60000000
4,16,10.21,1.72,0.28,64000000
4,17,10.78,1.82,0.30,68000000
4,18,11.45,1.94,0.32,72000000
4,19,12.21,2.04,0.33,76000000
4,20,12.78,2.15,0.35,80000000
4,21,13.70,2.28,0.37,84000000
4,22,14.32,2.37,0.38,88000000
4,23,14.82,2.48,0.40,92000000
4,24,15.48,2.59,0.41,96000000
8,1,0.70,0.25,0.02,8000000
8,2,1.44,0.50,0.05,16000000
8,3,2.19,0.76,0.07,24000000
8,4,2.95,1.01,0.09,32000000
8,5,3.71,1.26,0.11,40000000
8,6,4.49,1.52,0.12,48000000
8,7,5.25,1.76,0.14,56000000
8,8,6.05,2.01,0.15,64000000
8,9,6.89,2.27,0.17,72000000
8,10,7.64,2.52,0.19,80000000
8,11,8.45,2.77,0.20,88000000
8,12,9.23,3.02,0.22,96000000
8,13,10.00,3.28,0.24,104000000
8,14,10.83,3.52,0.25,112000000
8,15,11.73,3.79,0.27,120000000
8,16,12.52,4.03,0.28,128000000
8,17,13.44,4.28,0.30,136000000
8,18,14.31,4.54,0.32,144000000
8,19,14.96,4.77,0.33,152000000
8,20,15.90,5.04,0.35,160000000
8,21,16.67,5.29,0.37,168000000
8,22,17.71,5.53,0.38,176000000
8,23,18.30,5.79,0.40,184000000
8,24,19.03,6.04,0.42,192000000
16,1,0.98,0.53,0.02,16000000
16,2,2.01,1.07,0.05,32000000
16,3,3.04,1.60,0.07,48000000
16,4,4.09,2.15,0.09,64000000
16,5,5.12,2.66,0.10,80000000
16,6,6.19,3.21,0.12,96000000
16,7,7.24,3.74,0.14,112000000
16,8,8.34,4.28,0.15,128000000
16,9,9.45,4.82,0.17,144000000
16,10,10.51,5.35,0.19,160000000
16,11,11.62,5.88,0.20,176000000
16,12,12.62,6.42,0.22,192000000
16,13,13.73,6.96,0.24,208000000
16,14,14.86,7.49,0.25,224000000
16,15,16.01,8.03,0.27,240000000
16,16,17.02,8.56,0.29,256000000
16,17,18.19,9.14,0.30,272000000
16,18,19.38,9.64,0.32,288000000
16,19,20.69,10.17,0.34,304000000
16,20,21.56,10.71,0.35,320000000
16,21,22.79,11.22,0.37,336000000
16,22,23.75,11.77,0.39,352000000
16,23,24.81,12.34,0.40,368000000
16,24,26.13,12.85,0.42,384000000
