n_procs,n_threads,time_taken,mpi_time,problem_size
1,1,0.44,0.00,1000000
1,2,0.50,0.00,2000000
1,3,0.54,0.00,3000000
1,4,0.58,0.00,4000000
1,5,0.62,0.00,5000000
1,6,0.66,0.00,6000000
1,7,0.69,0.00,7000000
1,8,0.74,0.00,8000000
1,9,0.77,0.00,9000000
1,10,0.80,0.00,10000000
1,11,0.85,0.00,11000000
1,12,0.89,0.00,12000000
1,13,0.98,0.00,13000000
1,14,1.05,0.00,14000000
1,15,1.14,0.00,15000000
1,16,1.21,0.00,16000000
1,17,1.30,0.00,17000000
1,18,1.40,0.00,18000000
1,19,1.47,0.00,19000000
1,20,1.61,0.00,20000000
1,21,1.62,0.00,21000000
1,22,1.75,0.00,22000000
1,23,2.30,0.00,23000000
1,24,1.99,0.00,24000000
2,1,0.48,0.04,2000000
2,2,0.58,0.07,4000000
2,3,0.66,0.11,6000000
2,4,0.73,0.15,8000000
2,5,0.81,0.18,10000000
2,6,0.88,0.22,12000000
2,7,0.96,0.26,14000000
2,8,1.03,0.29,16000000
2,9,1.10,0.33,18000000
2,10,1.18,0.37,20000000
2,11,1.25,0.40,22000000
2,12,1.33,0.44,24000000
2,13,1.45,0.47,26000000
2,14,1.59,0.51,28000000
2,15,1.70,0.55,30000000
2,16,1.89,0.58,32000000
2,17,1.98,0.62,34000000
2,18,2.06,0.66,36000000
2,19,2.18,0.69,38000000
2,20,2.36,0.73,40000000
2,21,2.42,0.77,42000000
2,22,2.58,0.80,44000000
2,23,3.01,0.84,46000000
2,24,3.16,0.87,48000000
4,1,0.56,0.11,4000000
4,2,0.73,0.22,8000000
4,3,0.88,0.33,12000000
4,4,1.04,0.44,16000000
4,5,1.18,0.55,20000000
4,6,1.32,0.66,24000000
4,7,1.62,0.77,28000000
4,8,1.86,0.88,32000000
4,9,2.08,0.99,36000000
4,10,2.32,1.10,40000000
4,11,2.56,1.21,44000000
4,12,2.82,1.32,48000000
4,13,2.98,1.43,52000000
4,14,3.18,1.54,56000000
4,15,3.42,1.65,60000000
4,16,3.70,1.77,64000000
4,17,3.92,1.87,68000000
4,18,4.19,1.98,72000000
4,19,4.53,2.09,76000000
4,20,4.68,2.20,80000000
4,21,4.99,2.31,84000000
4,22,5.20,2.42,88000000
4,23,5.36,2.53,92000000
4,24,5.72,2.64,96000000
8,1,0.71,0.26,8000000
8,2,1.02,0.52,16000000
8,3,1.32,0.77,24000000
8,4,1.87,1.03,32000000
8,5,2.30,1.29,40000000
8,6,2.77,1.55,48000000
8,7,3.26,1.80,56000000
8,8,3.72,2.06,64000000
8,9,4.16,2.32,72000000
8,10,4.74,2.57,80000000
8,11,5.21,2.83,88000000
8,12,5.71,3.09,96000000
8,13,5.91,3.35,104000000
8,14,6.37,3.60,112000000
8,15,6.85,3.85,120000000
8,16,7.34,4.13,128000000
8,17,7.88,4.39,136000000
8,18,8.28,4.65,144000000
8,19,8.75,4.89,152000000
8,20,9.27,5.16,160000000
8,21,9.72,5.41,168000000
8,22,10.20,5.65,176000000
8,23,10.65,5.91,184000000
8,24,11.22,6.18,192000000
16,1,1.00,0.55,16000000
16,2,1.85,1.09,32000000
16,3,2.78,1.64,48000000
16,4,3.67,2.18,64000000
16,5,4.63,2.74,80000000
16,6,5.58,3.27,96000000
16,7,6.53,3.81,112000000
16,8,7.48,4.36,128000000
16,9,8.46,4.90,144000000
16,10,9.42,5.45,160000000
16,11,10.54,5.99,176000000
16,12,11.40,6.54,192000000
16,13,11.83,7.08,208000000
16,14,12.77,7.63,224000000
16,15,13.79,8.19,240000000
16,16,14.79,8.72,256000000
16,17,15.61,9.27,272000000
16,18,16.65,9.81,288000000
16,19,17.50,10.34,304000000
16,20,18.47,10.93,320000000
16,21,19.45,11.44,336000000
16,22,20.47,11.99,352000000
16,23,21.44,12.53,368000000
16,24,22.31,13.09,384000000
