n_procs,n_threads,time_taken,mpi_times,omp_times,problem_size
1,1,0.52,0.00,0.02,1000000
1,2,0.67,0.00,0.04,2000000
1,3,1.04,0.00,0.06,3000000
1,4,1.41,0.00,0.08,4000000
1,5,1.78,0.00,0.10,5000000
1,6,2.16,0.00,0.12,6000000
1,7,2.55,0.00,0.13,7000000
1,8,2.91,0.00,0.15,8000000
1,9,3.31,0.00,0.17,9000000
1,10,3.68,0.00,0.19,10000000
1,11,4.09,0.00,0.21,11000000
1,12,4.45,0.00,0.23,12000000
1,13,4.87,0.00,0.25,13000000
1,14,5.25,0.00,0.27,14000000
1,15,5.63,0.00,0.29,15000000
1,16,6.04,0.00,0.31,16000000
1,17,6.47,0.00,0.33,17000000
1,18,6.85,0.00,0.35,18000000
1,19,7.27,0.00,0.36,19000000
1,20,7.65,0.00,0.38,20000000
1,21,8.04,0.00,0.40,21000000
1,22,8.49,0.00,0.42,22000000
1,23,8.86,0.00,0.44,23000000
1,24,9.37,0.00,0.46,24000000
1,25,9.68,0.00,0.48,25000000
1,26,10.12,0.00,0.50,26000000
1,27,10.48,0.00,0.52,27000000
1,28,10.98,0.00,0.54,28000000
1,29,11.35,0.00,0.56,29000000
1,30,11.72,0.00,0.58,30000000
2,1,0.56,0.04,0.02,2000000
2,2,0.76,0.09,0.04,4000000
2,3,1.17,0.13,0.06,6000000
2,4,1.58,0.17,0.08,8000000
2,5,2.00,0.21,0.10,10000000
2,6,2.41,0.26,0.12,12000000
2,7,2.84,0.30,0.13,14000000
2,8,3.27,0.34,0.15,16000000
2,9,3.71,0.38,0.17,18000000
2,10,4.13,0.43,0.19,20000000
2,11,4.56,0.47,0.21,22000000
2,12,4.98,0.51,0.23,24000000
2,13,5.41,0.55,0.25,26000000
2,14,5.88,0.60,0.27,28000000
2,15,6.29,0.64,0.29,30000000
2,16,6.73,0.68,0.31,32000000
2,17,7.18,0.72,0.33,34000000
2,18,7.64,0.77,0.34,36000000
2,19,8.04,0.81,0.36,38000000
2,20,8.54,0.85,0.38,40000000
2,21,8.99,0.89,0.40,42000000
2,22,9.44,0.94,0.42,44000000
2,23,9.84,0.98,0.44,46000000
2,24,10.30,1.02,0.46,48000000
2,25,10.77,1.07,0.48,50000000
2,26,11.30,1.11,0.50,52000000
2,27,11.74,1.15,0.52,54000000
2,28,12.19,1.19,0.54,56000000
2,29,12.63,1.23,0.56,58000000
2,30,13.11,1.28,0.57,60000000
4,1,0.65,0.13,0.02,4000000
4,2,0.93,0.26,0.04,8000000
4,3,1.43,0.39,0.06,12000000
4,4,1.93,0.52,0.08,16000000
4,5,2.44,0.65,0.10,20000000
4,6,2.94,0.78,0.12,24000000
4,7,3.46,0.91,0.13,28000000
4,8,3.97,1.04,0.15,32000000
4,9,4.49,1.16,0.17,36000000
4,10,5.01,1.29,0.19,40000000
4,11,5.53,1.42,0.21,44000000
4,12,6.05,1.55,0.23,48000000
4,13,6.60,1.68,0.25,52000000
4,14,7.12,1.81,0.27,56000000
4,15,7.62,1.93,0.29,60000000
4,16,8.17,2.06,0.31,64000000
4,17,8.70,2.19,0.33,68000000
4,18,9.24,2.33,0.35,72000000
4,19,9.76,2.45,0.37,76000000
4,20,10.27,2.58,0.38,80000000
4,21,10.89,2.72,0.40,84000000
4,22,11.38,2.84,0.42,88000000
4,23,11.91,2.97,0.44,92000000
4,24,12.44,3.11,0.46,96000000
4,25,12.97,3.23,0.48,100000000
4,26,13.56,3.36,0.50,104000000
4,27,14.08,3.49,0.52,108000000
4,28,14.71,3.61,0.54,112000000
4,29,15.15,3.73,0.56,116000000
4,30,15.75,3.86,0.59,120000000
8,1,0.84,0.31,0.02,8000000
8,2,1.33,0.62,0.04,16000000
8,3,2.02,0.93,0.06,24000000
8,4,2.72,1.24,0.08,32000000
8,5,3.41,1.55,0.10,40000000
8,6,4.12,1.85,0.12,48000000
8,7,4.83,2.17,0.14,56000000
8,8,5.55,2.48,0.16,64000000
8,9,6.26,2.79,0.18,72000000
8,10,6.97,3.09,0.20,80000000
8,11,7.68,3.40,0.22,88000000
8,12,8.42,3.71,0.24,96000000
8,13,9.13,4.02,0.26,104000000
8,14,9.85,4.33,0.28,112000000
8,15,10.60,4.64,0.30,120000000
8,16,11.32,4.94,0.32,128000000
8,17,12.06,5.25,0.34,136000000
8,18,12.77,5.56,0.36,144000000
8,19,13.51,5.88,0.38,152000000
8,20,14.27,6.19,0.40,160000000
8,21,14.98,6.48,0.42,168000000
8,22,15.72,6.79,0.44,176000000
8,23,16.45,7.11,0.45,184000000
8,24,17.21,7.41,0.47,192000000
8,25,17.95,7.73,0.49,200000000
8,26,18.70,8.04,0.51,208000000
8,27,19.51,8.33,0.53,216000000
8,28,20.19,8.64,0.55,224000000
8,29,21.03,8.96,0.57,232000000
8,30,21.78,9.28,0.59,240000000
16,1,1.23,0.68,0.02,16000000
16,2,2.10,1.36,0.04,32000000
16,3,3.18,2.04,0.06,48000000
16,4,4.27,2.72,0.08,64000000
16,5,5.36,3.40,0.10,80000000
16,6,6.45,4.08,0.12,96000000
16,7,7.54,4.75,0.14,112000000
16,8,8.64,5.43,0.16,128000000
16,9,9.75,6.12,0.18,144000000
16,10,10.85,6.80,0.20,160000000
16,11,11.97,7.47,0.22,176000000
16,12,13.08,8.17,0.24,192000000
16,13,14.17,8.84,0.26,208000000
16,14,15.30,9.50,0.28,224000000
16,15,16.41,10.17,0.31,240000000
16,16,17.55,10.88,0.33,256000000
16,17,18.64,11.54,0.35,272000000
16,18,19.78,12.24,0.37,288000000
16,19,20.88,12.91,0.39,304000000
16,20,22.08,13.62,0.41,320000000
16,21,23.15,14.26,0.43,336000000
16,22,24.25,14.96,0.45,352000000
16,23,25.40,15.61,0.47,368000000
16,24,26.49,16.27,0.49,384000000
16,25,27.64,16.95,0.51,400000000
16,26,28.84,17.70,0.53,416000000
16,27,29.91,18.33,0.55,432000000
16,28,31.02,19.03,0.57,448000000
16,29,32.12,19.60,0.59,464000000
16,30,33.33,20.37,0.61,480000000
