n_procs,n_threads,time_taken,mpi_times,problem_size
1,1,0.52,0.00,1000000
1,2,0.68,0.00,2000000
1,3,1.04,0.00,3000000
1,4,1.42,0.00,4000000
1,5,1.79,0.00,5000000
1,6,2.17,0.00,6000000
1,7,2.57,0.00,7000000
1,8,2.94,0.00,8000000
1,9,3.34,0.00,9000000
1,10,3.72,0.00,10000000
1,11,4.11,0.00,11000000
1,12,4.50,0.00,12000000
1,13,4.91,0.00,13000000
1,14,5.29,0.00,14000000
1,15,5.68,0.00,15000000
1,16,6.11,0.00,16000000
1,17,6.49,0.00,17000000
1,18,6.93,0.00,18000000
1,19,7.30,0.00,19000000
1,20,7.71,0.00,20000000
1,21,8.16,0.00,21000000
1,22,8.51,0.00,22000000
1,23,8.93,0.00,23000000
1,24,9.33,0.00,24000000
1,25,9.75,0.00,25000000
1,26,10.18,0.00,26000000
1,27,10.58,0.00,27000000
1,28,11.02,0.00,28000000
1,29,11.41,0.00,29000000
1,30,11.81,0.00,30000000
2,1,0.57,0.04,2000000
2,2,0.76,0.09,4000000
2,3,1.17,0.13,6000000
2,4,1.59,0.17,8000000
2,5,2.01,0.22,10000000
2,6,2.43,0.26,12000000
2,7,2.86,0.30,14000000
2,8,3.29,0.34,16000000
2,9,3.72,0.39,18000000
2,10,4.16,0.43,20000000
2,11,4.59,0.47,22000000
2,12,5.03,0.52,24000000
2,13,5.48,0.56,26000000
2,14,5.89,0.60,28000000
2,15,6.59,0.65,30000000
2,16,6.79,0.69,32000000
2,17,7.24,0.73,34000000
2,18,7.70,0.77,36000000
2,19,8.14,0.83,38000000
2,20,8.61,0.86,40000000
2,21,9.06,0.90,42000000
2,22,9.50,0.94,44000000
2,23,9.97,0.99,46000000
2,24,10.39,1.03,48000000
2,25,10.85,1.07,50000000
2,26,11.31,1.12,52000000
2,27,11.81,1.16,54000000
2,28,12.29,1.20,56000000
2,29,12.71,1.24,58000000
2,30,13.18,1.29,60000000
4,1,0.66,0.13,4000000
4,2,0.94,0.26,8000000
4,3,1.44,0.39,12000000
4,4,1.95,0.52,16000000
4,5,2.46,0.65,20000000
4,6,2.97,0.78,24000000
4,7,3.49,0.92,28000000
4,8,4.01,1.05,32000000
4,9,4.52,1.17,36000000
4,10,5.04,1.31,40000000
4,11,5.57,1.44,44000000
4,12,6.09,1.57,48000000
4,13,6.64,1.70,52000000
4,14,7.16,1.83,56000000
4,15,7.69,1.96,60000000
4,16,8.23,2.08,64000000
4,17,8.75,2.22,68000000
4,18,9.30,2.35,72000000
4,19,9.83,2.47,76000000
4,20,10.45,2.61,80000000
4,21,10.90,2.73,84000000
4,22,11.45,2.87,88000000
4,23,12.02,3.00,92000000
4,24,12.57,3.14,96000000
4,25,13.13,3.27,100000000
4,26,13.72,3.39,104000000
4,27,14.22,3.52,108000000
4,28,14.83,3.64,112000000
4,29,15.37,3.77,116000000
4,30,16.06,3.90,120000000
8,1,0.85,0.31,8000000
8,2,1.34,0.63,16000000
8,3,2.04,0.94,24000000
8,4,2.74,1.25,32000000
8,5,3.46,1.57,40000000
8,6,4.18,1.88,48000000
8,7,4.89,2.19,56000000
8,8,5.61,2.50,64000000
8,9,6.34,2.81,72000000
8,10,7.05,3.13,80000000
8,11,7.80,3.44,88000000
8,12,8.51,3.75,96000000
8,13,9.24,4.07,104000000
8,14,9.98,4.37,112000000
8,15,10.69,4.68,120000000
8,16,11.43,5.00,128000000
8,17,12.19,5.32,136000000
8,18,12.96,5.63,144000000
8,19,13.65,5.94,152000000
8,20,14.68,6.25,160000000
8,21,15.18,6.57,168000000
8,22,15.90,6.87,176000000
8,23,16.68,7.19,184000000
8,24,17.37,7.49,192000000
8,25,18.14,7.82,200000000
8,26,18.93,8.12,208000000
8,27,19.70,8.44,216000000
8,28,20.46,8.75,224000000
8,29,21.15,9.05,232000000
8,30,21.95,9.37,240000000
16,1,1.24,0.69,16000000
16,2,2.13,1.38,32000000
16,3,3.22,2.06,48000000
16,4,4.31,2.75,64000000
16,5,5.42,3.44,80000000
16,6,6.54,4.13,96000000
16,7,7.63,4.81,112000000
16,8,8.74,5.50,128000000
16,9,9.86,6.20,144000000
16,10,10.96,6.86,160000000
16,11,12.09,7.57,176000000
16,12,13.21,8.26,192000000
16,13,14.34,8.95,208000000
16,14,15.47,9.64,224000000
16,15,16.58,10.30,240000000
16,16,17.68,10.97,256000000
16,17,18.86,11.70,272000000
16,18,20.35,12.39,288000000
16,19,21.13,13.05,304000000
16,20,22.26,13.78,320000000
16,21,23.43,14.45,336000000
16,22,24.52,15.12,352000000
16,23,26.09,15.80,368000000
16,24,26.93,16.48,384000000
16,25,28.05,17.27,400000000
16,26,29.15,17.88,416000000
16,27,30.16,18.53,432000000
16,28,31.39,19.25,448000000
16,29,32.36,19.78,464000000
16,30,33.75,20.61,480000000
