n_procs,n_threads,time_taken,
1,1,19.94,
1,3,9.42,
1,5,6.58,
1,7,6.11,
1,9,6.17,
1,11,6.16,
1,13,6.16,
1,15,6.29,
1,17,6.34,
1,19,6.37,
1,21,6.42,
1,23,6.47,
1,25,6.67,
1,27,6.77,
1,29,6.94,
2,1,11.93,
2,3,6.20,
2,5,5.89,
2,7,5.89,
2,9,5.98,
2,11,6.09,
2,13,6.17,
2,15,6.16,
2,17,6.25,
2,19,6.27,
2,21,6.42,
2,23,6.57,
2,25,6.52,
2,27,6.70,
2,29,6.63,
4,1,9.68,
4,3,6.68,
4,5,6.39,
4,7,6.90,
4,9,6.24,
4,11,6.29,
4,13,6.84,
4,15,7.41,
4,17,7.04,
4,19,7.69,
4,21,7.55,
4,23,7.52,
4,25,7.27,
4,27,7.78,
4,29,7.47,
8,1,19.06,
8,3,11.27,
8,5,9.37,
8,7,7.57,
8,9,9.25,
8,11,8.15,
8,13,9.67,
8,15,8.94,
8,17,9.73,
8,19,10.11,
8,21,9.84,
8,23,11.21,
8,25,10.29,
8,27,9.46,
8,29,9.48,
16,1,37.68,
16,3,17.97,
16,5,11.76,
16,7,10.60,
16,9,15.99,
16,11,11.87,
16,13,15.00,
16,15,16.09,
16,17,12.71,
16,19,14.36,
16,21,12.71,
16,23,16.21,
16,25,13.48,
16,27,11.03,
16,29,11.04,
